k  	      x_k^T  		    f(x_k) 	  ||Vf(x_k)|| 
----------------------------------------------------------------
0 	 [1.2 1.2 ] 	          5.80000E+00 	  1.25169E+02 
1 	 [1.1118 1.2366 ] 	  1.25264E-02 	  1.02594E-01 
2 	 [1.0839 1.1695 ] 	  9.89657E-03 	  2.70395E+00 
3 	 [1.0419 1.0932 ] 	  7.42841E-03 	  3.40551E+00 
4 	 [1.0076 1.0152 ] 	  5.73185E-05 	  7.67008E-03 
5 	 [1.0031 1.0058 ] 	  2.49274E-05 	  1.81437E-01 
6 	 [1.0001 1.0003 ] 	  2.72313E-06 	  7.35900E-02 
7 	 [0.99987 0.99964 ] 	  9.08845E-07 	  4.19692E-02 
8 	 [1.0001 1.0002 ] 	  2.88110E-07 	  2.36154E-02 
9 	 [0.99996 0.99989 ] 	  9.09032E-08 	  1.32815E-02 
10 	 [1 1.0001 ] 	          2.88075E-08 	  7.47132E-03 
11 	 [0.99999 0.99996 ] 	  9.10699E-09 	  4.20248E-03 
12 	 [1 1 ] 	          2.88293E-09 	  2.36394E-03 
13 	 [1 0.99999 ] 	          9.11926E-10 	  1.32970E-03 
