k           x_k^T  	             f(x_k) 	  ||Vf(x_k)|| 
----------------------------------------------------------------
0 	 [-1.2 1 ] 	          2.42000E+01 	  2.32868E+02 
1 	 [1.4318 2.0742 ] 	  2.44393E-01 	  1.37864E+01 
2 	 [1.4382 2.0607 ] 	  1.98064E-01 	  5.56161E+00 
3 	 [1.4316 2.0552 ] 	  1.89577E-01 	  2.69531E+00 
4 	 [1.4282 2.0343 ] 	  1.86531E-01 	  4.20997E+00 
5 	 [1.4155 2.0114 ] 	  1.78758E-01 	  3.92941E+00 
6 	 [1.3889 1.9239 ] 	  1.54028E-01 	  3.84432E+00 
7 	 [1.3216 1.7325 ] 	  1.23704E-01 	  8.64789E+00 
8 	 [1.1834 1.3799 ] 	  7.58204E-02 	  1.08935E+01 
9 	 [1.1896 1.4226 ] 	  4.14884E-02 	  3.49336E+00 
10 	 [1.1243 1.2557 ] 	  2.24251E-02 	  4.33912E+00 
11 	 [1.1194 1.2532 ] 	  1.42605E-02 	  2.08641E-01 
12 	 [1.0426 1.0809 ] 	  5.47405E-03 	  2.87578E+00 
13 	 [1.0557 1.1169 ] 	  3.66858E-03 	  1.00882E+00 
14 	 [1.0164 1.0303 ] 	  1.05706E-03 	  1.30151E+00 
15 	 [1.021 1.0431 ] 	  4.94178E-04 	  2.99749E-01 
16 	 [1.0025 1.0041 ] 	  7.03185E-05 	  3.63716E-01 
17 	 [1.0029 1.006 ] 	  1.33951E-05 	  9.56114E-02 
18 	 [0.99904 0.99794 ] 	  2.91808E-06 	  6.14654E-02 
19 	 [1.0007 1.0014 ] 	  1.08381E-06 	  3.42811E-02 
20 	 [0.99966 0.99927 ] 	  3.17584E-07 	  1.93188E-02 
21 	 [1.0002 1.0004 ] 	  1.05346E-07 	  1.09045E-02 
22 	 [0.99989 0.99976 ] 	  3.24917E-08 	  6.12264E-03 
23 	 [1.0001 1.0001 ] 	  1.04331E-08 	  3.44844E-03 
24 	 [0.99996 0.99992 ] 	  3.27421E-09 	  1.93841E-03 
25 	 [1 1 ] 	          1.04079E-09 	  1.09080E-03 
